Model Name,Release Date,Company/Provider,Parameters,Context Window,Architecture,Modality,Model Type,Public Access,Features,Notable Achievements
BioBERT,2019-02-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
BioBERT (GGUF-Q4_0),2019-02-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
BioBERT (GGUF-Q4_1),2019-02-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
BioBERT (GGUF-Q5_0),2019-02-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
BioBERT via Together,2019-02-01T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
BioBERT via Replicate,2019-02-01T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
BioBERT via Baseten,2019-02-01T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
BioBERT,2019-02-01T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
XLNet,2019-06-19T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
XLNet (GGUF-Q4_0),2019-06-19T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
XLNet (GGUF-Q4_1),2019-06-19T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
XLNet (GGUF-Q5_0),2019-06-19T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
XLNet via Together,2019-06-19T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
XLNet via Replicate,2019-06-19T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
XLNet via Baseten,2019-06-19T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
RoBERTa,2019-07-26T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
RoBERTa (GGUF-Q4_0),2019-07-26T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
RoBERTa (GGUF-Q4_1),2019-07-26T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
RoBERTa (GGUF-Q5_0),2019-07-26T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
RoBERTa via Together,2019-07-26T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
RoBERTa via Replicate,2019-07-26T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
RoBERTa via Baseten,2019-07-26T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
ERNIE,2019-07-29T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ERNIE (GGUF-Q4_0),2019-07-29T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ERNIE (GGUF-Q4_1),2019-07-29T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ERNIE (GGUF-Q5_0),2019-07-29T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ERNIE via Together,2019-07-29T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
ERNIE via Replicate,2019-07-29T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
ERNIE via Baseten,2019-07-29T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
SciBERT,2019-08-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
SciBERT (GGUF-Q4_0),2019-08-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
SciBERT (GGUF-Q4_1),2019-08-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
SciBERT (GGUF-Q5_0),2019-08-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
SciBERT via Together,2019-08-01T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
SciBERT via Replicate,2019-08-01T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
SciBERT via Baseten,2019-08-01T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
SciBERT,2019-08-01T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
MedBERT,2019-08-15T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
MedBERT (GGUF-Q4_0),2019-08-15T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
MedBERT (GGUF-Q4_1),2019-08-15T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
MedBERT (GGUF-Q5_0),2019-08-15T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
MedBERT via Together,2019-08-15T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
MedBERT via Replicate,2019-08-15T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
MedBERT via Baseten,2019-08-15T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
ALBERT,2019-09-26T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ALBERT (GGUF-Q4_0),2019-09-26T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ALBERT (GGUF-Q4_1),2019-09-26T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ALBERT (GGUF-Q5_0),2019-09-26T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ALBERT via Together,2019-09-26T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
ALBERT via Replicate,2019-09-26T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
ALBERT via Baseten,2019-09-26T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
DistilBERT,2019-10-02T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
DistilBERT (GGUF-Q4_0),2019-10-02T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
DistilBERT (GGUF-Q4_1),2019-10-02T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
DistilBERT (GGUF-Q5_0),2019-10-02T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
DistilBERT via Together,2019-10-02T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
DistilBERT via Replicate,2019-10-02T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
DistilBERT via Baseten,2019-10-02T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
FinBERT,2020-01-16T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
FinBERT (GGUF-Q4_0),2020-01-16T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
FinBERT (GGUF-Q4_1),2020-01-16T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
FinBERT (GGUF-Q5_0),2020-01-16T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
FinBERT via Together,2020-01-16T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
FinBERT via Replicate,2020-01-16T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
FinBERT via Baseten,2020-01-16T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
FinBERT,2020-01-16T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
ELECTRA,2020-03-23T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ELECTRA (GGUF-Q4_0),2020-03-23T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ELECTRA (GGUF-Q4_1),2020-03-23T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ELECTRA (GGUF-Q5_0),2020-03-23T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
ELECTRA via Together,2020-03-23T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
ELECTRA via Replicate,2020-03-23T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
ELECTRA via Baseten,2020-03-23T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
DPR,2020-04-24T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
ColBERT,2020-04-27T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
PatentBERT,2020-05-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
PatentBERT (GGUF-Q4_0),2020-05-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
PatentBERT (GGUF-Q4_1),2020-05-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
PatentBERT (GGUF-Q5_0),2020-05-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
PatentBERT via Together,2020-05-01T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
PatentBERT via Replicate,2020-05-01T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
PatentBERT via Baseten,2020-05-01T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
GPT-3,2020-06-11T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
GPT-3 (GGUF-Q4_0),2020-06-11T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
GPT-3 (GGUF-Q4_1),2020-06-11T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
GPT-3 (GGUF-Q5_0),2020-06-11T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
GPT-3 via Together,2020-06-11T00:00:00Z,OpenAI / Together (API),Unknown,2048,,text,Language Model,No,,
GPT-3 via Replicate,2020-06-11T00:00:00Z,OpenAI / Replicate (API),Unknown,2048,,text,Language Model,No,,
GPT-3 via Baseten,2020-06-11T00:00:00Z,OpenAI / Baseten (API),Unknown,2048,,text,Language Model,No,,
CodeBERT,2020-09-09T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
CodeBERT (GGUF-Q4_0),2020-09-09T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
CodeBERT (GGUF-Q4_1),2020-09-09T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
CodeBERT (GGUF-Q5_0),2020-09-09T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
CodeBERT via Together,2020-09-09T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
CodeBERT via Replicate,2020-09-09T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
CodeBERT via Baseten,2020-09-09T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
CodeBERT,2020-09-09T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
TinyBERT,2020-09-28T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
TinyBERT (GGUF-Q4_0),2020-09-28T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
TinyBERT (GGUF-Q4_1),2020-09-28T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
TinyBERT (GGUF-Q5_0),2020-09-28T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
TinyBERT via Together,2020-09-28T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
TinyBERT via Replicate,2020-09-28T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
TinyBERT via Baseten,2020-09-28T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
CLIP,2021-01-05T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,"text, image",Multimodal LLM,Yes,,
ANCE,2021-01-15T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
GraphCodeBERT,2021-02-09T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
GraphCodeBERT (GGUF-Q4_0),2021-02-09T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
GraphCodeBERT (GGUF-Q4_1),2021-02-09T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
GraphCodeBERT (GGUF-Q5_0),2021-02-09T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
GraphCodeBERT via Together,2021-02-09T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
GraphCodeBERT via Replicate,2021-02-09T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
GraphCodeBERT via Baseten,2021-02-09T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
GraphCodeBERT,2021-02-09T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
DistilFinBERT,2021-02-18T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
CodeGPT-3,2021-03-01T00:00:00Z,Research Institutions / Research/Specialized,Unknown,2048,,text,Specialized Model,Yes,,
BioM-ELECTRA,2021-04-22T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
LegalBERT,2021-06-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
